Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Active Flow Entries,Packets Looked Up,Packets Matched,Label,Binary Label
8,1,68,9162,17164,185,56,4,556,6706,93,5,1,0,0,0,0,0,6,682,588,6,1
8,2,240,6312505,9110,66,56,150,5908705,556,4,5,2,0,0,0,0,0,6,682,588,6,1
8,3,241,6312635,9236,69,56,4,560,556,4,5,3,0,0,0,0,0,6,682,588,6,1
5,1,68,9162,8994,64,56,4,556,556,4,5,1,0,0,0,0,0,5,414,331,6,1
5,2,244,6312705,9162,68,56,150,5908705,556,4,5,2,0,0,0,0,0,5,414,331,6,1
5,3,68,9162,9162,68,56,4,556,556,4,5,4,603894,6039814,603894,6039814,603894,5,414,331,6,1
6,1,68,9162,16880,179,56,4,556,6706,93,5,1,0,0,0,0,0,5,350,263,6,1
6,2,68,9162,9162,68,56,4,556,556,4,5,2,0,0,0,0,0,5,350,263,6,1
6,3,185,17164,9162,68,56,93,6706,556,4,5,3,0,0,0,0,0,5,350,263,6,1
9,1,69,9236,8884,66,56,4,556,556,4,5,1,0,0,0,0,0,4,382,293,6,1
9,2,69,9236,8674,61,56,4,556,556,4,5,3,0,0,0,0,0,4,382,293,6,1
9,3,68,9202,17209,188,56,4,560,556,4,5,4,0,0,0,0,0,4,382,293,6,1
12,1,298,6311791,6328307,412,146,163,6302428,6892,100,5,1,0,0,0,0,0,6,2367,2272,6,1
12,2,524,6327566,18936092,771,146,0,0,560,4,5,2,0,0,0,0,0,6,2367,2272,6,1
12,3,929,25238128,25828,246,146,100,6888,560,4,5,3,0,0,0,0,0,6,2367,2272,6,1
12,4,311,6321337,6351828,757,146,4,556,6302988,167,5,4,564600,5646004,564600,5646004,564600,6,2367,2272,6,1
10,1,478,12615885,6337645,546,146,0,0,560,4,5,1,0,0,0,0,0,4,1593,1491,6,1
10,2,12,996,18294,139,146,0,0,560,4,5,2,0,0,0,0,0,4,1593,1491,6,1
10,3,254,26067,18935992,766,146,4,556,560,4,5,3,0,0,0,0,0,4,1593,1491,6,1
10,4,543,6337179,18204,138,146,4,556,560,4,5,5,0,0,0,0,0,4,1593,1491,6,1
11,1,413,6319959,12633364,606,146,0,0,560,4,5,1,0,0,0,0,0,4,1143,1077,6,1
11,2,255,26207,6321855,316,146,4,560,560,4,4,2,0,0,0,0,0,4,1143,1077,6,1
3,1,188,6304555,26198,256,146,0,0,556,4,5,1,0,0,0,0,0,6,6487,6384,6,1
3,2,2840,6452671,19061013,3085,146,95,5130,5686,99,5,2,561,6427938,561,6427938,561,6,6487,6384,6,1
3,3,309,6321407,6461328,2838,146,4,556,5686,99,5,3,13202,132022,13202,132022,13202,6,6487,6384,6,1
3,4,3027,12765418,26151,256,146,99,5686,556,4,5,4,0,0,0,0,0,6,6487,6384,6,1
4,1,2905,12757214,17742,130,146,99,5702,556,4,5,1,0,0,0,0,0,5,3696,3591,6,1
4,2,256,26151,12765418,3027,146,4,556,5632,98,5,2,513,6427938,513,6427938,513,5,3696,3591,6,1
4,3,416,6328981,6329462,428,146,4,556,556,4,5,3,0,0,0,0,0,5,3696,3591,6,1
1,1,301,6312282,6329508,428,146,0,0,556,4,5,1,0,0,0,0,0,10,6936,6838,6,1
1,2,2675,12732842,157493,2661,146,95,5130,5686,99,5,2,507,131482,507,131482,507,10,6936,6838,6,1
1,3,3273,19073830,12639208,696,146,194,11976,6302984,167,5,3,0,0,0,0,0,10,6936,6838,6,1
1,4,624,6342957,12631160,580,146,167,6302984,6846,99,5,4,0,0,0,0,0,10,6936,6838,6,1
2,1,736,18924826,12647239,814,146,95,6290,6302984,167,5,1,0,0,0,0,0,8,4220,4161,6,1
2,2,696,12639208,19073830,3273,146,167,6302984,11976,194,5,2,699,126406,699,126406,699,8,4220,4161,6,1
7,1,133,17896,17770,130,146,4,556,556,4,5,1,0,0,0,0,0,5,1246,1132,6,1
7,2,754,18934587,25835,251,146,90,6234,556,4,5,2,0,0,0,0,0,5,1246,1132,6,1
7,3,244,25573,12631016,576,146,4,556,6234,90,5,3,621,6216,621,6216,621,5,1246,1132,6,1
8,1,254,26035,6329601,430,146,4,556,556,4,5,1,0,0,0,0,0,5,1815,1705,6,1
8,2,576,12631016,25573,244,146,100,6888,556,4,5,2,0,0,0,0,0,5,1815,1705,6,1
8,3,766,18935992,26067,254,146,4,560,556,4,5,3,0,0,0,0,0,5,1815,1705,6,1
5,1,580,12631160,6342957,624,146,100,6888,6302984,167,5,1,564600,5646004,564600,5646004,564600,6,1623,1524,6,1
5,2,314,6321649,18106,138,146,5,598,556,4,5,2,0,0,0,0,0,6,1623,1524,6,1
5,3,523,6335732,18106,138,146,167,6302984,556,4,5,4,535,5358,535,5358,535,6,1623,1524,6,1
6,1,428,6329462,6328981,416,146,4,556,556,4,5,1,0,0,0,0,0,5,1483,1380,6,1
6,2,138,18106,6335732,523,146,4,556,6302044,156,5,2,564600,5646004,564600,5646004,564600,5,1483,1380,6,1
6,3,430,6329601,26035,254,146,4,556,556,4,5,3,0,0,0,0,0,5,1483,1380,6,1
9,1,313,6321607,6335454,521,146,4,556,6302910,166,5,1,564600,5646004,564600,5646004,564600,5,1490,1385,6,1
9,2,312,6321541,17282,123,146,4,556,556,4,5,3,0,0,0,0,0,5,1490,1385,6,1
9,3,138,18204,6337179,543,146,4,560,556,4,5,4,0,0,0,0,0,5,1490,1385,6,1
12,1,188,6304531,30197,286,191,0,0,560,4,4,1,0,0,0,0,0,8,7765,7665,6,1
12,2,660,6336789,25244036,983,191,0,0,560,4,4,2,0,6303352,0,6303352,0,8,7765,7665,6,1
12,3,625,12636474,186413,3178,191,4,556,5636,98,4,3,464,156006,464,156006,464,8,7765,7665,6,1
12,4,3080,179186,6334107,467,191,98,5632,560,4,5,4,0,8077,0,8077,0,8,7765,7665,6,1
10,1,991,31525535,6364601,910,191,20,394809,1827,19,5,1,0,0,0,0,0,6,3112,3013,6,1
10,2,427,6320894,12636766,628,191,0,0,560,4,5,2,0,0,0,0,0,6,3112,3013,6,1
10,3,165,21956,31562256,1369,191,4,556,560,4,5,3,0,0,0,0,0,6,3112,3013,6,1
10,4,1247,18970522,22292,170,191,4,556,560,4,5,5,0,0,0,0,0,6,3112,3013,6,1
11,1,3224,6470214,6491345,3378,191,107,6223,269121,114,5,1,39988,6460097,39988,6460097,39988,8,6764,6695,6,1
11,2,348,6325959,30749,294,191,19,263819,1761,18,5,2,0,0,0,0,0,8,6764,6695,6,1
3,1,411,6319819,12636509,626,191,0,0,556,4,5,1,0,0,0,0,0,4,1665,1571,6,1
3,2,128,8977,6325807,346,191,0,0,556,4,5,2,0,0,0,0,0,4,1665,1571,6,1
3,3,278,29623,6332660,441,191,4,556,556,4,5,3,0,0,0,0,0,4,1665,1571,6,1
3,4,691,18932439,37544,394,191,4,556,556,4,5,4,0,0,0,0,0,4,1665,1571,6,1
4,1,1009,18954505,21872,163,191,4,556,556,4,5,1,0,0,0,0,0,4,2058,1947,6,1
4,2,394,37544,18932439,691,191,4,556,556,4,5,2,0,0,0,0,0,4,2058,1947,6,1
4,3,501,12628322,12666900,1070,191,4,556,556,4,5,3,0,0,0,0,0,4,2058,1947,6,1
1,1,3031,165574,6482501,3250,191,93,5022,5578,97,5,1,464,156006,464,156006,464,8,8575,8481,6,1
1,2,645,18918883,6348139,671,191,0,0,556,4,5,2,0,0,0,0,0,8,8575,8481,6,1
1,3,730,12643920,6342214,586,191,4,556,556,4,5,3,0,8077,0,8077,0,8,8575,8481,6,1
1,4,4041,19120053,12785921,3425,191,97,5578,5578,97,5,4,464,6459358,464,6459358,464,8,8575,8481,6,1
2,1,583,12623084,12645633,760,191,0,0,556,4,4,1,0,8077,0,8077,0,6,1605,1536,6,1
2,2,586,6342214,12643920,730,191,4,556,556,4,4,2,0,6303352,0,6303352,0,6,1605,1536,6,1
7,1,159,21704,21872,163,191,4,556,556,4,4,1,0,0,0,0,0,7,7639,7524,6,1
7,2,3425,12785901,19112586,3938,191,98,5632,5632,98,4,2,464,156006,464,156006,464,7,7639,7524,6,1
7,3,3933,19112376,12628491,506,191,98,5632,556,4,4,3,0,6303352,0,6303352,0,7,7639,7524,6,1
8,1,169,22124,12629036,518,191,4,556,556,4,5,1,0,0,0,0,0,6,5204,5098,6,1
8,2,506,12628491,19112376,3933,191,4,556,5632,98,5,2,464,156006,464,156006,464,6,5204,5098,6,1
8,3,1369,31562256,21956,165,191,4,560,556,4,5,3,0,0,0,0,0,6,5204,5098,6,1
5,1,3426,12785975,19120107,4042,191,98,5632,5632,98,4,1,464,164083,464,164083,464,8,7793,7680,6,1
5,2,169,22124,22198,170,191,4,556,556,4,4,2,0,0,0,0,0,8,7793,7680,6,1
5,3,289,30317,22124,169,191,4,556,556,4,4,4,464,6459358,464,6459358,464,8,7793,7680,6,1
6,1,1070,12666900,12628322,501,191,4,556,556,4,5,1,0,0,0,0,0,5,2038,1934,6,1
6,2,169,22124,30317,289,191,4,556,556,4,5,2,0,8077,0,8077,0,5,2038,1934,6,1
6,3,518,12629036,22124,169,191,4,556,556,4,5,3,0,0,0,0,0,5,2038,1934,6,1
9,1,1071,12666942,30317,289,191,4,556,556,4,5,1,0,8077,0,8077,0,6,4767,4668,6,1
9,2,3078,179102,21452,153,191,98,5632,556,4,5,3,0,0,0,0,0,6,4767,4668,6,1
9,3,170,22292,18970522,1247,191,4,560,556,4,5,4,464,156006,464,156006,464,6,4767,4668,6,1
12,1,362,12607952,38325,398,201,20,394827,1896,22,5,1,0,0,0,0,0,8,8446,8346,6,1
12,2,660,6336789,25244918,990,201,0,0,280,2,5,2,0,0,0,0,0,8,8446,8346,6,1
12,3,737,12644596,197555,3375,201,22,1894,5464,98,5,3,480,166320,480,166320,480,8,8446,8346,6,1
12,4,3277,190322,12638368,647,201,98,5462,395107,22,5,4,630330,6303305,630330,6303305,630330,8,8446,8346,6,1
10,1,1097,31532823,12668862,1090,201,20,1616,395107,22,5,1,0,0,0,0,0,8,3412,3313,6,1
10,2,427,6320894,12637648,635,201,0,0,280,2,5,2,0,0,0,0,0,8,3412,3313,6,1
10,3,172,22832,31570384,1481,201,2,278,1896,22,5,3,0,0,0,0,0,8,3412,3313,6,1
10,4,1427,25274777,23174,177,201,22,395105,280,2,5,5,0,6303551,0,6303551,0,8,3412,3313,6,1
11,1,3414,6480474,6502487,3575,201,95,5130,5410,97,5,1,518,6470357,518,6470357,518,8,7158,7089,6,1
11,2,355,6326841,31631,301,201,2,280,280,2,5,2,0,0,0,0,0,8,7158,7089,6,1
3,1,411,6319819,12637385,633,201,0,0,278,2,5,1,0,0,0,0,0,4,1686,1592,6,1
3,2,128,8977,6326683,353,201,0,0,278,2,5,2,0,0,0,0,0,4,1686,1592,6,1
3,3,285,30499,6333494,447,201,2,278,278,2,5,3,0,0,0,0,0,4,1686,1592,6,1
3,4,698,18933315,38420,401,201,2,278,278,2,5,4,0,0,0,0,0,4,1686,1592,6,1
4,1,1015,18955339,22748,170,201,2,278,278,2,5,1,0,0,0,0,0,4,2084,1973,6,1
4,2,401,38420,18933315,698,201,2,278,278,2,5,2,0,0,0,0,0,4,2084,1973,6,1
4,3,507,12629156,12667776,1077,201,2,278,278,2,5,3,0,0,0,0,0,4,2084,1973,6,1
1,1,3221,175834,6493637,3447,201,96,5184,5462,98,5,1,480,166320,480,166320,480,6,8976,8882,6,1
1,2,645,18918883,6349015,678,201,0,0,278,2,5,2,0,0,0,0,0,6,8976,8882,6,1
1,3,736,12644754,6343090,593,201,2,278,278,2,5,3,0,0,0,0,0,6,8976,8882,6,1
1,4,4237,19131147,12797057,3622,201,98,5462,5462,98,5,4,16632,166320,16632,166320,16632,6,8976,8882,6,1
2,1,583,12623084,12646509,767,201,0,0,278,2,5,1,0,0,0,0,0,4,1618,1549,6,1
2,2,593,6343090,12644754,736,201,2,278,278,2,5,2,0,0,0,0,0,4,1618,1549,6,1
7,1,165,22538,22748,170,201,2,278,278,2,5,1,0,0,0,0,0,6,8047,7932,6,1
7,2,3622,12797037,19123722,4135,201,97,5408,5408,97,5,2,480,166320,480,166320,480,6,8047,7932,6,1
7,3,4130,19123512,12629325,512,201,97,5408,278,2,5,3,0,0,0,0,0,6,8047,7932,6,1
8,1,176,23000,12629912,525,201,2,278,278,2,5,1,0,0,0,0,0,6,5527,5421,6,1
8,2,512,12629325,19123512,4130,201,2,278,5408,97,5,2,480,166320,480,166320,480,6,5527,5421,6,1
8,3,1481,31570384,22832,172,201,22,1896,278,2,5,3,0,0,0,0,0,6,5527,5421,6,1
5,1,3623,12797111,19131201,4238,201,97,5408,5408,97,5,1,16632,166320,16632,166320,16632,6,8203,8090,6,1
5,2,176,23000,23074,177,201,2,278,278,2,5,2,0,0,0,0,0,6,8203,8090,6,1
5,3,296,31193,23000,176,201,2,278,278,2,5,4,16632,166320,16632,166320,16632,6,8203,8090,6,1
6,1,1077,12667776,12629156,507,201,2,278,278,2,5,1,0,0,0,0,0,4,2066,1962,6,1
6,2,176,23000,31193,296,201,2,278,278,2,5,2,0,0,0,0,0,4,2066,1962,6,1
6,3,525,12629912,23000,176,201,2,278,278,2,5,3,0,0,0,0,0,4,2066,1962,6,1
9,1,1078,12667818,31193,296,201,2,278,278,2,5,1,0,0,0,0,0,6,5159,5060,6,1
9,2,3275,190238,22286,159,201,98,5462,278,2,5,3,0,0,0,0,0,6,5159,5060,6,1
9,3,177,23174,25274777,1427,201,2,280,395105,22,5,4,480,166320,480,166320,480,6,5159,5060,6,1
12,1,362,12607952,39445,406,211,0,0,560,4,5,1,0,0,0,0,0,8,8842,8742,6,1
12,2,660,6336789,25246038,998,211,0,0,560,4,5,2,0,0,0,0,0,8,8842,8742,6,1
12,3,745,12645708,208815,3571,211,4,556,5624,98,5,3,507,176472,507,176472,507,8,8842,8742,6,1
12,4,3473,201574,12639488,655,211,98,5620,560,4,5,4,0,0,0,0,0,8,8842,8742,6,1
10,1,1270,37836184,12677141,1202,211,20,394809,2089,23,5,1,0,0,0,0,0,8,3707,3608,6,1
10,2,427,6320894,12638768,643,211,0,0,560,4,5,2,0,0,0,0,0,8,3707,3608,6,1
10,3,180,23944,31571504,1489,211,4,556,560,4,5,3,0,0,0,0,0,8,3707,3608,6,1
10,4,1435,25275889,24294,185,211,4,556,560,4,5,5,105115,12606912,105115,12606912,105115,8,3707,3608,6,1
11,1,3707,6497827,12817162,3945,211,112,6551,400391,117,5,1,39983,12783816,39983,12783816,39983,8,7827,7758,6,1
11,2,536,12631322,39910,413,211,24,395369,2089,23,5,2,0,0,0,0,0,8,7827,7758,6,1
3,1,411,6319819,12638497,641,211,0,0,556,4,5,1,0,0,0,0,0,4,1710,1616,6,1
3,2,128,8977,6327795,361,211,0,0,556,4,5,2,0,0,0,0,0,4,1710,1616,6,1
3,3,293,31611,6334606,455,211,4,556,556,4,5,3,0,0,0,0,0,4,1710,1616,6,1
3,4,706,18934427,39532,409,211,4,556,556,4,5,4,0,0,0,0,0,4,1710,1616,6,1
4,1,1023,18956451,23860,178,211,4,556,556,4,4,1,0,0,0,0,0,4,2108,1997,6,1
4,2,409,39532,18934427,706,211,4,556,556,4,4,2,0,0,0,0,0,4,2108,1997,6,1
4,3,515,12630268,12668888,1085,211,4,556,556,4,4,3,0,0,0,0,0,4,2108,1997,6,1
1,1,3409,185974,6504889,3643,211,94,5064,5620,98,5,1,507,176472,507,176472,507,6,9372,9278,6,1
1,2,645,18918883,6350127,686,211,0,0,556,4,5,2,0,0,0,0,0,6,9372,9278,6,1
1,3,744,12645866,6344202,601,211,4,556,556,4,4,3,0,0,0,0,0,6,9372,9278,6,1
1,4,4433,19142399,12808309,3818,211,98,5620,5620,98,5,4,507,176472,507,176472,507,6,9372,9278,6,1
2,1,583,12623084,12647621,775,211,0,0,556,4,5,1,0,0,0,0,0,4,1630,1561,6,1
2,2,601,6344202,12645866,744,211,4,556,556,4,5,2,0,0,0,0,0,4,1630,1561,6,1
7,1,173,23650,23860,178,211,4,556,556,4,5,1,0,0,0,0,0,6,8449,8334,6,1
7,2,3818,12808289,19134974,4331,211,97,5578,5578,97,5,2,507,176472,507,176472,507,6,8449,8334,6,1
7,3,4326,19134764,12630437,520,211,97,5578,556,4,5,3,0,0,0,0,0,6,8449,8334,6,1
8,1,184,24112,12631024,533,211,4,556,556,4,5,1,0,0,0,0,0,6,5740,5634,6,1
8,2,520,12630437,19134764,4326,211,4,556,5578,97,5,2,507,176472,507,176472,507,6,5740,5634,6,1
8,3,1489,31571504,23944,180,211,4,560,556,4,5,3,0,0,0,0,0,6,5740,5634,6,1
5,1,3819,12808363,19142453,4434,211,97,5578,5578,97,5,1,507,176472,507,176472,507,6,8605,8492,6,1
5,2,184,24112,24186,185,211,4,556,556,4,5,2,0,0,0,0,0,6,8605,8492,6,1
5,3,304,32305,24112,184,211,4,556,556,4,5,4,507,176472,507,176472,507,6,8605,8492,6,1
6,1,1085,12668888,12630268,515,211,4,556,556,4,5,1,0,0,0,0,0,4,2090,1986,6,1
6,2,184,24112,32305,304,211,4,556,556,4,5,2,0,0,0,0,0,4,2090,1986,6,1
6,3,533,12631024,24112,184,211,4,556,556,4,5,3,0,0,0,0,0,4,2090,1986,6,1
9,1,1086,12668930,32305,304,211,4,556,556,4,5,1,0,0,0,0,0,6,5372,5273,6,1
9,2,3471,201490,23398,167,211,98,5620,556,4,5,3,0,0,0,0,0,6,5372,5273,6,1
9,3,185,24294,25275889,1435,211,4,560,556,4,5,4,507,176472,507,176472,507,6,5372,5273,6,1
12,1,362,12607952,40285,412,221,0,0,560,4,5,1,0,0,0,0,0,8,9524,9424,6,1
12,2,774,6344610,31550375,1179,221,21,1663,526709,28,5,2,0,0,0,0,0,8,9524,9424,6,1
12,3,925,18949969,219645,3762,221,27,526635,5474,95,5,3,453,186462,453,186462,453,8,9524,9424,6,1
12,4,3664,212398,12648149,775,221,95,5470,2223,25,5,4,0,0,0,0,0,8,9524,9424,6,1
10,1,1270,37836184,12677981,1208,221,0,0,560,4,5,1,0,0,0,0,0,8,4019,3920,6,1
10,2,601,12624321,12647429,763,221,20,394809,2025,22,5,2,0,0,0,0,0,8,4019,3920,6,1
10,3,186,24778,37875771,1669,221,4,556,395369,24,5,3,65734,6303353,65734,6303353,65734,8,4019,3920,6,1
10,4,1555,25284544,25134,191,221,22,2021,560,4,5,5,0,12606912,0,12606912,0,8,4019,3920,6,1
11,1,3892,6507817,12827992,4136,221,91,4914,5474,95,5,1,491,12793806,491,12793806,491,8,8209,8140,6,1
11,2,542,12632162,40750,419,221,4,560,560,4,5,2,1550,15500,1550,15500,1550,8,8209,8140,6,1
3,1,411,6319819,12639331,647,221,0,0,556,4,5,1,0,0,0,0,0,4,1728,1634,6,1
3,2,128,8977,6328629,367,221,0,0,556,4,5,2,0,0,0,0,0,4,1728,1634,6,1
3,3,299,32445,6335510,462,221,4,556,556,4,5,3,0,0,0,0,0,4,1728,1634,6,1
3,4,712,18935261,40366,415,221,4,556,556,4,5,4,0,0,0,0,0,4,1728,1634,6,1
4,1,1029,18957285,24694,184,221,4,556,556,4,5,1,0,0,0,0,0,4,2140,2029,6,1
4,2,415,40366,18935261,712,221,4,556,556,4,5,2,0,0,0,0,0,4,2140,2029,6,1
4,3,521,12631102,12669722,1091,221,4,556,556,4,5,3,0,0,0,0,0,4,2140,2029,6,1
1,1,3594,195964,6515713,3834,221,91,4914,5470,95,5,1,453,186462,453,186462,453,6,9766,9672,6,1
1,2,645,18918883,6350961,692,221,0,0,556,4,5,2,0,0,0,0,0,6,9766,9672,6,1
1,3,750,12646700,6345036,607,221,4,556,556,4,5,3,0,0,0,0,0,6,9766,9672,6,1
1,4,4624,19153223,12819133,4009,221,95,5470,5470,95,5,4,453,186462,453,186462,453,6,9766,9672,6,1
2,1,583,12623084,12648455,781,221,0,0,556,4,5,1,0,0,0,0,0,4,1647,1577,6,1
2,2,607,6345036,12646700,750,221,4,556,556,4,5,2,0,0,0,0,0,4,1647,1577,6,1
7,1,179,24484,24694,184,221,4,556,556,4,5,1,0,0,0,0,0,6,8851,8736,6,1
7,2,4009,12819113,19145798,4522,221,95,5470,5470,95,5,2,453,186462,453,186462,453,6,8851,8736,6,1
7,3,4517,19145588,12631271,526,221,95,5470,556,4,5,3,0,0,0,0,0,6,8851,8736,6,1
8,1,190,24946,12631858,539,221,4,556,556,4,5,1,0,0,0,0,0,6,6131,6025,6,1
8,2,526,12631271,19145588,4517,221,4,556,5470,95,5,2,453,186462,453,186462,453,6,6131,6025,6,1
8,3,1669,37875771,24778,186,221,24,395369,556,4,5,3,0,0,0,0,0,6,6131,6025,6,1
5,1,4010,12819187,19153277,4625,221,95,5470,5470,95,5,1,453,186462,453,186462,453,6,9007,8894,6,1
5,2,190,24946,25020,191,221,4,556,556,4,5,2,0,0,0,0,0,6,9007,8894,6,1
5,3,310,33139,24946,190,221,4,556,556,4,5,4,453,186462,453,186462,453,6,9007,8894,6,1
6,1,1091,12669722,12631102,521,221,4,556,556,4,4,1,0,0,0,0,0,4,2122,2018,6,1
